Threshold,Accuracy,Precision,Recall,F1 Score,AUC-ROC,True Positives,True Negatives,False Positives,False Negatives,Version
40,0.6170212765957447,0.4888888888888889,0.8461538461538461,0.6197183098591549,0.7340103716508211,44,43,46,8,Default Weights
63,0.6524822695035462,0.5194805194805194,0.7692307692307693,0.6201550387596899,0.7162921348314608,40,52,37,12,Optimized Weights
