threshold,accuracy,precision,recall,f1
0,0.3659574468085106,0.3659574468085106,1.0,0.5358255451713395
5,0.3645390070921986,0.36428571428571427,0.9883720930232558,0.5323590814196242
10,0.3645390070921986,0.36428571428571427,0.9883720930232558,0.5323590814196242
15,0.3645390070921986,0.36428571428571427,0.9883720930232558,0.5323590814196242
20,0.3645390070921986,0.36428571428571427,0.9883720930232558,0.5323590814196242
25,0.3645390070921986,0.36428571428571427,0.9883720930232558,0.5323590814196242
30,0.3645390070921986,0.36428571428571427,0.9883720930232558,0.5323590814196242
35,0.37872340425531914,0.3691860465116279,0.9844961240310077,0.5369978858350951
40,0.40283687943262414,0.3781763826606876,0.9806201550387597,0.5458468176914779
45,0.41702127659574467,0.383206106870229,0.9728682170542635,0.5498357064622125
50,0.4340425531914894,0.38827258320126784,0.9496124031007752,0.5511811023622047
55,0.4652482269503546,0.398981324278438,0.9108527131782945,0.5548996458087367
60,0.48226950354609927,0.4011090573012939,0.8410852713178295,0.5431789737171464
65,0.5078014184397163,0.412573673870334,0.813953488372093,0.5475880052151239
70,0.5290780141843971,0.42448979591836733,0.8062015503875969,0.5561497326203209
75,0.548936170212766,0.4353448275862069,0.7829457364341085,0.5595567867036011
80,0.5617021276595745,0.4429530201342282,0.7674418604651163,0.5617021276595745
85,0.5673758865248227,0.4447058823529412,0.7325581395348837,0.5534407027818448
90,0.5957446808510638,0.4604105571847507,0.6085271317829457,0.5242070116861436
95,0.6070921985815603,0.4707692307692308,0.5930232558139535,0.5248713550600344
100,0.6312056737588653,0.4964788732394366,0.5465116279069767,0.5202952029520295
105,0.6354609929078014,0.5018315018315018,0.5310077519379846,0.5160075329566854
110,0.6453900709219859,0.5172413793103449,0.46511627906976744,0.4897959183673469
115,0.64822695035461,0.5240384615384616,0.42248062015503873,0.4678111587982833
120,0.6425531914893617,0.515,0.3992248062015504,0.4497816593886463
125,0.64822695035461,0.5274725274725275,0.37209302325581395,0.43636363636363634
130,0.6652482269503546,0.5733333333333334,0.3333333333333333,0.4215686274509804
135,0.6695035460992907,0.5886524822695035,0.32170542635658916,0.41604010025062654
140,0.6695035460992907,0.6050420168067226,0.27906976744186046,0.3819628647214854
145,0.6439716312056738,0.5454545454545454,0.16279069767441862,0.2507462686567164
150,0.6439716312056738,0.5454545454545454,0.16279069767441862,0.2507462686567164
155,0.6425531914893617,0.5428571428571428,0.14728682170542637,0.23170731707317074
160,0.6425531914893617,0.5428571428571428,0.14728682170542637,0.23170731707317074
165,0.6340425531914894,0.5,0.015503875968992248,0.03007518796992481
170,0.6340425531914894,0.5,0.015503875968992248,0.03007518796992481
